Item ID,Item Name,userid,shopid,shop_name,Main Category,Sub Category,Level3 Category,username,Item GMV,Total Placed Order
"5809082457","有現貨 開發票 SANLUX 台灣三洋 雙電壓多功能 旅行鍋 美食鍋 空姐鍋 EC-15DTC","4881563","4880273","電器網拍批發-別無分號","Home Electronic","Kitchen Appliances","Multi-function Cooker","wellsvtsai","14310.0","7"
"1795374003","Harman Kardon Onyx Studio 5 正品代購","1671614","1670404","B&B DAIGOU","Home Electronic","Steroes and Speakers","Subwoofer","blythe.lu","10459.70802919708","2"
"5504612577","ghd 新白金造型夾+全新未拆封，台灣公司貨，不賣仿品，假一賠十","36762379","36760995","ccgirlgirlgiirl","Home Electronic","Beauty Appliances","Hair Dryer","ccgirlgirlgiirl","13720.0","2"
"1993529024","【現貨+發票】 魔力家 手持式肩背除螨吸塵器 髒吸吸有線款 (免耗材 塵螨機 除塵螨吸塵器)","3618428","3617056","WU MALL","Home Electronic","Household Appliances","Vacuum","wumall","15570.0","12"
"2188279593","LG WR-90TW 含運費安裝","20122411","20121075","chinchialiang0817","Home Electronic","Large Household Appliance","Dryer","chinchialiang0817","462380.0","22"
"1691845606","【澄軒飲水】美國EVERPURE H-104 濾心~【平行輸入】(另有S-104、BH2、S-54）","107199888","107198409","澄軒飲水專賣","Home Electronic","Kitchen Appliances","Water Device","a3258z","10350.0","7"
"7603929428","1月7號前出貨(免運)【台灣保固一年】品夏氣炸鍋 多功能氣炸鍋 電炸鍋 氣炸鍋 空氣炸鍋","134674082","134672258","小米之家大賣場","Home Electronic","Kitchen Appliances","Fryer","c0985026047","23250.0","14"
"1473818517","Kentiger HY-V11卡拉OK擴大機.車用/家用.電腦用擴大機 無線藍芽 USB/SD/FM收音/LED~現貨~","15005248","15003912","專注完美3C","Home Electronic","Steroes and Speakers","Home Theater Systems","a0919x","18842.0","17"
"1366144975","【A.K】免運 正負零 12吋 節能遙控立扇 XQS-Z710 白 /黃/粉 專櫃正品 1年保固 正負零風扇 風扇","75693295","75691823","A.K代購","Home Electronic","Seasonal Appliance","Fan-AC","s0800962","30140.0","16"
"1396227569","導入導出儀 鬥牛小子","4542181","4540891","yami_ya","Home Electronic","Beauty Appliances","Electronic Face Cleansing Brush","yami_ya","25883.0","2"
"7523678183","(花果果代購)奇美 CHIMEI VC-HB4LH0 無線多功能UV除螨手持吸塵器 無線手持吸塵器 水洗式透明集塵盒","240783487","240777980","花果果代購","Home Electronic","Household Appliances","Vacuum","kk_ww_888","12270.0","5"
"2758730669","台灣 黑色 白色 現貨  小米電視音響 音箱 喇叭 小米劇院 soundbar 家庭劇院 重低音 環繞 無線｜","169282406","169280080","chichi7549","Home Electronic","Steroes and Speakers","Subwoofer","chichi7549","21868.0","11"
"840126319","【宅配免運費】名象-95L三層紫外線殺菌烘碗機(TT-889)","2025734","2024250","電器妙森林","Home Electronic","Kitchen Appliances","Dish Washer","ae.qq","48750.0","13"
"3524673997","BenQ 明碁43吋4K HDR低藍光聯網電視 43JR700 物品在新竹","21531466","21530130","loveq8q8qq","Home Electronic","TVs","4K","loveq8q8qq","13270.0","2"
"2796350963","【電器宅急便】三洋 400公升直立式冷藏櫃 SRM-400RA 含配送+基本安裝","9913463","9912166","【電器宅急便】 double222","Home Electronic","Large Household Appliance","Refrigerator ","double222","16900.0","1"
"6627875225","Toyota交車禮 12.5坪閃流空氣清淨機 DAIKIN 大金 【MC55USCT】 母親節禮物 白色運送到家","1266213","1265249","j08644","Home Electronic","Household Appliances","Air Purifier","j08644","33850.0","3"
"106529360","(現貨速寄免設定)日立變頻冷氣遙控器RF07T1.RF07T2. RE07T3 RF07T4 RF07T7 RF09T1","13543535","13542232","sam87062233","Home Electronic","Large Household Appliance","Air-Conditioner","sam87062233","12705.311823463864","60"
"2111306109","冷氣界第一次的活動【傑克3C】MAXE萬士益冷氣R32變頻冷暖一對一分離式冷氣MAS-2332MV、MAS-2832MV","1818545","1817214","YUDA悠達集團-日立、禾聯、萬士益、冷氣家電專賣 YUDA平板電腦 3C商品","Home Electronic","Large Household Appliance","Air-Conditioner","andy701020","13700.0","1"
"1722202585","【現貨+預購】日立HITACHI 水波爐 烤箱 微波爐 健康主廚 MRO-VS8 31L","80779148","80777676","卡哩日貨舖","Home Electronic","Kitchen Appliances","Microwave","nikkayoko","14400.0","1"
"948765130","(可超取)公司現貨''促銷中''CD-WBF40象印微電腦熱水瓶","58335788","58334362","fuchuan2181166","Home Electronic","Kitchen Appliances","Electric Boiler","fuchuan2181166","13360.0","10"
"5416074173","Pioneer A-20 綜合擴大機(超殺限時價格）","80215858","80214384","waymon1201","Home Electronic","Steroes and Speakers","AV Receiver","waymon1201","10120.0","2"
"7817880479","全新未拆 Roborock S6 石頭掃地機器人二代 (石頭科技小米生態鍊)【台灣公司貨】台灣保固一年","1609656","1608470","chrisrtsv","Home Electronic","Household Appliances","Robot Vaccum","chrisrtsv","55996.0","4"
"1867788385","(附發票)PHILIPS飛利浦 氣炸鍋的烘烤鍋HD9925(適用HD9220、HD9230、HD9240、HD9642)","18182602","18181266","簡單快速用心","Home Electronic","Kitchen Appliances","Fryer","tina667161","10340.0","6"
"7409895215","附發票「工具仁」台灣公司貨 一年保固 頸部按摩器 USB 充電式按摩器 按摩枕 肩頸按摩器 紓壓枕 旅行枕 頸枕 按摩器","142335206","142333382","<工具仁> ","Home Electronic","Beauty Appliances","Electric Massager","toolkernel","15959.36348776387","22"
"5223558952","宅配免運【CookPower 鍋寶】 數位觸控健康氣炸鍋  7公升大容量 《2年原廠保固》","119091128","119089304","現貨供應PO-SHOP","Home Electronic","Kitchen Appliances","Fryer","pc50979798","33160.0","12"
"2114756186","【現貨-免運費！台灣寄出實拍+用給你看】Meilen電子秤 BMI 體重計 體重機 體重 電子體重計 體重器 體重秤","23817","23817","【網拍首選】最優越的電商平台","Home Electronic","Beauty Appliances","Weight Scale","wei2692","121982.61937834694","197"
"5912011109","Panasonic 國際牌 MS-N53 溫風式廚餘處理機 溫風式 N53  廚餘機 含稅空運直送 除菌 除臭 日本直送","205398073","205394834","樂樂Japan 【電器・雜貨・日本直送🇯🇵】","Home Electronic","Kitchen Appliances","Others","nakagami01.tw","158650.0","8"
"7425676","阿拉斯加 小風地 258 浴室抽風扇 小風地258 無聲換氣扇 排風扇 靜音扇 浴室 通風扇 浴室排風扇","1786924","1785648","♚ 居家元素 ♚","Home Electronic","Seasonal Appliance","Fan-Exhaust","miss050530","29436.0","34"
"7220368162","德國 百靈 BRAUN 手持攪拌器 MQ700 多功能 攪拌棒 攪拌器 蔬果料理 冰沙 MQ500 日本直送 MQ100","205398073","205394834","樂樂Japan 【電器・雜貨・日本直送🇯🇵】","Home Electronic","Kitchen Appliances","Food Processor","nakagami01.tw","10975.0","5"
"2018983378","HERAN禾聯 NEW 居家小貴族 6.5KG全自動洗衣機HWM-0652 全省送貨 免安運費","57485970","57484544","HERAN禾聯 熊好的店 ","Home Electronic","Large Household Appliance","Washing Machine","hertec","10649.0","2"
"2757258666","PHILIPS飛利浦氣炸鍋HD9642配件 無煙上蓋/煎魚盤HD9940/烘烤鍋HD9925/握把/噴油罐","6390620","6389308","108Life shop","Home Electronic","Kitchen Appliances","Fryer","leilasung","13290.0","9"
"1903334880","【國際牌】Panasonic 10公升除濕機 F-Y20FH 贈原廠贈品 SP-2017 曬衣架","83380858","83379381","Panasonic國際家電旗鑑館","Home Electronic","Household Appliances","Dehumidifier","panasonic.tw","11495.0","1"
"137839719","Honeywell HRF-R1 原廠HEPA濾心 HPA-100APTW/HPA-200APTWHPA-300APTW","13528471","13527168","歐洲精品家電","Home Electronic","Household Appliances","Air Purifier","elechouse","20035.8790335158","13"
"5409073615","Mistral美寧 12L薄型液晶智慧節能除濕機 JR-S65D 白色【一級節能可退稅500元】","13528471","13527168","歐洲精品家電","Home Electronic","Household Appliances","Dehumidifier","elechouse","27364.0","5"
"2380705983","ZANWA晶華 5-7坪六機一體 超極冷暖型 移動式冷氣10000BTU (ZW-1360CH)","6059193","6057886","LEGENT科技家電","Home Electronic","Large Household Appliance","Portable Aircon","pastartc02","29698.0","3"
